created_at,text
Sat Aug 15 00:52:39 +0000 2020,@JesseBWatters Joe Biden barely knows what day it is.  I hope nobody is listening to him.
Sat Aug 15 00:52:38 +0000 2020,@Alyssa_Milano I have hairy legs blah blah blah and I know about cockroaches blah blah blah. -Biden.
Sat Aug 15 00:52:37 +0000 2020,"how are ppl planning to hold biden and harris accountable? what are you gonna do, tell them off?"
Sat Aug 15 00:52:37 +0000 2020,"@zzxyxy @DjWatkinss @SpeakerPelosi Biden, Pelosi and Schumer have been in Congress for 130+ years, now they want you to believe they will fix everything in the next 4 years."
Sat Aug 15 00:52:37 +0000 2020,"@zalisteggall Am i the only one thinking we are shooting the messenger and not the message delivered clearly by Biden himself cos if we didn't do that it may actually force people to accept that she may not have been chosen on purely merit alone?
And taking shots at a cartoonist is less woke?"
Sat Aug 15 00:52:36 +0000 2020,"Biden's Team Lashes Out at Trump for Planning a 4-State Tour Next Week - Jealous Biden is Too Feeble to Travel and Campaign
🚨 Trump is planning on visiting Pennsylvania, Wisconsin, Minnesota and Arizona. https://t.co/c5aFBw1Ey7"
Sat Aug 15 00:52:36 +0000 2020,@Human_Comments_ @MatthewTripp53 @lilmakgames @Pacers @jacksdonuts @MalcolmBrogdon7 You’re as clueless as Biden is... TRUMP 2020🇺🇸
Sat Aug 15 00:52:36 +0000 2020,"@MeidasTouch Will u do the same when biden does something bad? And CNN makes fake propaganda? If yes im with u, if not both sides need their propganda tv to make it even."
Sat Aug 15 00:52:36 +0000 2020,@UncleRobTrump Who is Joe Biden?
Sat Aug 15 00:52:35 +0000 2020,"I wonder how @HillaryClinton feels that a woman who is PRETENDING to be black might get to be President before her?

#Biden"
Sat Aug 15 00:52:35 +0000 2020,"More Accurate Than You Know! The Biden campaign is ""Battling for the Soul of America"" what will the Democrats do with your soul?

https://t.co/rvwzgGMhhb"
Sat Aug 15 00:52:34 +0000 2020,"@Zabsteroz @thegroovylamps @mjrowland68 @australian @ABC You’re a bit slow. I didn’t dispute those words were used by Harris and Biden. Really, ‘but they said it’ ? But you want to talk context otherwise?"
Sat Aug 15 00:52:34 +0000 2020,"""You cannot base a campaign on it. So, I doubt that the administration will get its money's worth, so to speak, from this, but they will definitely milk it to death""
https://t.co/Ubb4DC6uEP"
