created_at,text
Fri Aug 14 22:47:41 +0000 2020,Trump Keeps Rejecting Campaign Events - https://t.co/vbTIgnt0kw
Fri Aug 14 22:47:41 +0000 2020,Experts weigh in on Trump’s chances of going to jail https://t.co/1eKjMd16Zl
Fri Aug 14 22:47:41 +0000 2020,@CNN Attention America !! Vote like your life depends on it. @realDonaldTrump is trying to suppress your vote and cheat. Voter suppression comes in all forms and Trump and the dirty @gop are guilty of this on all levels @43Biden @RepsForBiden @JoeBiden
Fri Aug 14 22:47:41 +0000 2020,"@johntmarohn @WhiteHouse 4 more years of liberal tear's. Then when Donald Trump Jr. runs in 2024, another 4 more years of liberal tears. 🥂"
Fri Aug 14 22:47:40 +0000 2020,@RealJamesWoods @realDonaldTrump Trump has killed America and democracy! #VoteBlueToSaveAmerica2020
Fri Aug 14 22:47:40 +0000 2020,"@jxmespctters he basically implied that obama was a better president than trump and made obama seem like this perfect person, when in actuality, he's fucked up a lotttttt,,,,"
Fri Aug 14 22:47:40 +0000 2020,"FAKE NEWS!
Trump would love this!  😂

#covid19sk #skpoli https://t.co/7e2g8Kpw3p https://t.co/XBsGOzi3vr"
Fri Aug 14 22:47:40 +0000 2020,Trump: oh? Then come as close as you like https://t.co/HSfEiwzK5S
Fri Aug 14 22:47:40 +0000 2020,@FishGirl4Trump @BarackObama Trump is telling white surbubanites that poc are going to move into their neighborhoods and that antifa wants to destroy their town. Seems like the scare tactics are coming from trump.
Fri Aug 14 22:47:40 +0000 2020,@realDonaldTrump @FoxNews Trump is having another meltdown. Quick someone get him his meds. Help the poor old man. #TrumpIsHavingAMeltdown #TrumpIsACompleteFailure
Fri Aug 14 22:47:40 +0000 2020,"@donwinslow @bekindhavehope Do you think that #Trump has read #Machiavelli? Saying it's rigged is not enough. He must prove it.
#MailInBallot"
Fri Aug 14 22:47:40 +0000 2020,"@tonikuehl12 @JudgesChamberss @JoeBiden Here are just a few quotes from Trump

1. This is just another dem hoax 2. I take no responsibility at all 4. It is what it is 5. Just watch one day it will magically disappear 6. Slow the testing down please I would list the words he can't pronounce but that would take too long"
Fri Aug 14 22:47:40 +0000 2020,@Acosta @CNNSitRoom Trump lies unabashedly on a regular basis. His base doesn’t care.
Fri Aug 14 22:47:39 +0000 2020,@MatthewJshow @realDonaldTrump @NatlParkService Oh Trump will bank on it. He'll be the first to take whatever he can get and take it to the bank.
Fri Aug 14 22:47:39 +0000 2020,@ProfessorCrunk @TheBeatWithAri @JoeBiden and @KamalaHarris are both for #UniversalHeathcare.  #MedicareForAll gives government too much control over our healthcare dollars. Imagine if we had #Medicare4All now with #Trump in charge. Complete disaster.
Fri Aug 14 22:47:39 +0000 2020,‘A product of gross negligence’: Why this ex-federal prosecutor thinks Trump must be prosecuted https://t.co/VzlEQYwOOF
Fri Aug 14 22:47:39 +0000 2020,@seanonolennon The Bomb Drop Count of American Presidents Trump would be the lowest surely that has to be something the Progressive Left would applaud.
Fri Aug 14 22:47:39 +0000 2020,@NBCNews Better for illegals and foreigners. Let’s make things better for Americans for once by voting TRUMP/PENCE 2020.
Fri Aug 14 22:47:39 +0000 2020,@williamlegate @SpeakerPelosi @USPS What can easily stop Trump's  Post Office destruction madness is for the voters to flood GOP Congress members and governors mail and inboxes and social media accounts with warnings they'll be voted out for sabotaging people's medicines and SS checks delivery.
Fri Aug 14 22:47:39 +0000 2020,"@GaryPJackson3 @erin18_ @BarneyF95235263 @SunnyNRainy @bobpockrass @JennaFryer If Trump is a democrat, then I'm the Pope"
Fri Aug 14 22:47:39 +0000 2020,"@9423_600 @skidazzle @HKrassenstein @realDonaldTrump We don't know how many drone strikes Trump has ordered, because he stopped reporting them https://t.co/xkpwclc7Fm"
Fri Aug 14 22:47:39 +0000 2020,"@murray_nyc @realDonaldTrump Continue with your campaign. Seems the pandemic conspiracy, to rubbish trumps govt, is really working. You only know about your country, you don't know what God has used trump to do for us at this end. But I want you to know that one with God is majority"
